Total_spending,Total_orders,segments,Customer type
572.56,97,High Value,Repeat customer
3639.31,172,High Value,Repeat customer
222.99,15,High Value,Repeat customer
4151.93,152,High Value,Repeat customer
534.57,35,High Value,Repeat customer
677.1,35,High Value,Repeat customer
797.96,51,High Value,Repeat customer
544.08,13,High Value,Repeat customer
59.8,1,High Value,One-time customer
2520.02,155,High Value,Repeat customer
307.72,21,High Value,Repeat customer
1360.99,43,High Value,Repeat customer
1544.13,38,High Value,Repeat customer
457.34,26,High Value,Repeat customer
621.23,39,High Value,Repeat customer
75.0,3,High Value,Repeat customer
252.49,11,High Value,Repeat customer
572.451,27,High Value,Repeat customer
28117.04,478,High Value,Repeat customer
1003.06,28,High Value,Repeat customer
213.55,18,High Value,Repeat customer
1390.5,24,High Value,Repeat customer
712.5,19,High Value,Repeat customer
640.83,28,High Value,Repeat customer
6127.43,304,High Value,Repeat customer
221.06,16,High Value,Repeat customer
159.85,8,High Value,Repeat customer
1851.08,104,High Value,Repeat customer
2626.3,127,High Value,Repeat customer
1624.21,78,High Value,Repeat customer
3641.32,157,High Value,Repeat customer
582.6,29,High Value,Repeat customer
218.47,74,High Value,Repeat customer
1006.8,67,High Value,Repeat customer
679.45,49,High Value,Repeat customer
1269.1,46,High Value,Repeat customer
534.24,10,High Value,Repeat customer
3809.8900000000003,101,High Value,Repeat customer
196.89,12,High Value,Repeat customer
3408.06,167,High Value,Repeat customer
283.71,54,High Value,Repeat customer
296.64,13,High Value,Repeat customer
1129.14,59,High Value,Repeat customer
3539.37,195,High Value,Repeat customer
291.88,19,High Value,Repeat customer
2043.7199999999998,71,High Value,Repeat customer
2976.15,443,High Value,Repeat customer
590.0,2,High Value,Repeat customer
356.97999999999996,17,High Value,Repeat customer
1058.34,46,High Value,Repeat customer
1766.72,63,High Value,Repeat customer
9646.57,382,High Value,Repeat customer
183.44,17,High Value,Repeat customer
1445.0,27,High Value,Repeat customer
151.5,9,High Value,Repeat customer
674.68,41,High Value,Repeat customer
307.9,17,High Value,Repeat customer
1083.71,99,High Value,Repeat customer
5704.97,302,High Value,Repeat customer
165.0,10,High Value,Repeat customer
2531.58,260,High Value,Repeat customer
422.64,21,High Value,Repeat customer
229.59,64,High Value,Repeat customer
1431.78,86,High Value,Repeat customer
1238.47,58,High Value,Repeat customer
1454.58,79,High Value,Repeat customer
300.95,15,High Value,Repeat customer
1804.56,109,High Value,Repeat customer
184.64,11,High Value,Repeat customer
140.34,10,High Value,Repeat customer
313.8,8,High Value,Repeat customer
454.24,23,High Value,Repeat customer
1122.41,69,High Value,Repeat customer
575.4,34,High Value,Repeat customer
8968.31,422,High Value,Repeat customer
449.52,14,High Value,Repeat customer
1215.82,86,High Value,Repeat customer
1269.84,50,High Value,Repeat customer
618.63,8,High Value,Repeat customer
316.26000000000005,18,High Value,Repeat customer
2044.8700000000001,48,High Value,Repeat customer
653.33,35,High Value,Repeat customer
348.05,19,High Value,Repeat customer
1159.11,42,High Value,Repeat customer
1166.77,65,High Value,Repeat customer
1340.32,52,High Value,Repeat customer
292.0,18,High Value,Repeat customer
216.85,17,High Value,Repeat customer
295.93,22,High Value,Repeat customer
4393.63,215,High Value,Repeat customer
458.52,26,High Value,Repeat customer
2479.16,162,High Value,Repeat customer
110.97,12,High Value,Repeat customer
979.72,44,High Value,Repeat customer
1791.56,115,High Value,Repeat customer
251.21,15,High Value,Repeat customer
205.1,10,High Value,Repeat customer
152.20000000000002,4,High Value,Repeat customer
891.12,59,High Value,Repeat customer
1389.41,44,High Value,Repeat customer
2128.42,141,High Value,Repeat customer
659.4399999999999,38,High Value,Repeat customer
122.75,8,High Value,Repeat customer
3624.35,93,High Value,Repeat customer
1093.65,436,High Value,Repeat customer
125.80000000000001,5,High Value,Repeat customer
3964.88,172,High Value,Repeat customer
680.1800000000001,27,High Value,Repeat customer
628.78,6,High Value,Repeat customer
2287.51,223,High Value,Repeat customer
307.76,15,High Value,Repeat customer
483.8,22,High Value,Repeat customer
210.31,66,High Value,Repeat customer
270.79,76,High Value,Repeat customer
5870.08,296,High Value,Repeat customer
3448.29,179,High Value,Repeat customer
1280.85,25,High Value,Repeat customer
631.34,37,High Value,Repeat customer
291.41,87,High Value,Repeat customer
626.99,98,High Value,Repeat customer
682.41,124,High Value,Repeat customer
918.2,51,High Value,Repeat customer
91.80000000000001,4,High Value,Repeat customer
3740.07,109,High Value,Repeat customer
4149.28,136,High Value,Repeat customer
584.06,34,High Value,Repeat customer
605.06,175,High Value,Repeat customer
174.37,33,High Value,Repeat customer
141.85999999999999,14,High Value,Repeat customer
1799.33,82,High Value,Repeat customer
777.53,49,High Value,Repeat customer
1749.02,83,High Value,Repeat customer
240.22,38,High Value,Repeat customer
874.71,176,High Value,Repeat customer
192.85,44,High Value,Repeat customer
373.75,85,High Value,Repeat customer
239.49,27,High Value,Repeat customer
2092.32,341,High Value,Repeat customer
1384.25,33,High Value,Repeat customer
294.4,26,High Value,Repeat customer
732.0699999999999,46,High Value,Repeat customer
6717.34,126,High Value,Repeat customer
1687.6000000000001,83,High Value,Repeat customer
467.04,23,High Value,Repeat customer
118.0,10,High Value,Repeat customer
781.03,53,High Value,Repeat customer
142.4,24,High Value,Repeat customer
712.4,8,High Value,Repeat customer
2478.95,174,High Value,Repeat customer
379.65,21,High Value,Repeat customer
1981.92,87,High Value,Repeat customer
1117.13,58,High Value,Repeat customer
247.95999999999998,16,High Value,Repeat customer
2037.0800000000002,128,High Value,Repeat customer
396.97,26,High Value,Repeat customer
697.04,166,High Value,Repeat customer
180.17000000000002,40,High Value,Repeat customer
5153.67,247,High Value,Repeat customer
219.52,19,High Value,Repeat customer
693.32,99,High Value,Repeat customer
428.89,23,High Value,Repeat customer
164.34,27,High Value,Repeat customer
280.53999999999996,43,High Value,Repeat customer
678.01,98,High Value,Repeat customer
1131.88,226,High Value,Repeat customer
1171.8,74,High Value,Repeat customer
1610.46,201,High Value,Repeat customer
417.69,23,High Value,Repeat customer
544.18,44,High Value,Repeat customer
177.34,13,High Value,Repeat customer
213.85,19,High Value,Repeat customer
747.78,81,High Value,Repeat customer
257.23,19,High Value,Repeat customer
1638.47,92,High Value,Repeat customer
7792.36,59,High Value,Repeat customer
2031.78,71,High Value,Repeat customer
3070.42,11,High Value,Repeat customer
2121.27,146,High Value,Repeat customer
1575.16,188,High Value,Repeat customer
1071.03,62,High Value,Repeat customer
949.12,63,High Value,Repeat customer
810.5,101,High Value,Repeat customer
122.64,8,High Value,Repeat customer
1033.34,40,High Value,Repeat customer
354.8,66,High Value,Repeat customer
519.44,28,High Value,Repeat customer
2624.26,146,High Value,Repeat customer
252.1,5,High Value,Repeat customer
1678.1200000000001,79,High Value,Repeat customer
346.6,23,High Value,Repeat customer
1836.34,96,High Value,Repeat customer
94.2,6,High Value,Repeat customer
1095.08,63,High Value,Repeat customer
2707.33,166,High Value,Repeat customer
932.97,56,High Value,Repeat customer
379.65,49,High Value,Repeat customer
382.14,16,High Value,Repeat customer
2639.17,108,High Value,Repeat customer
1573.2,104,High Value,Repeat customer
897.76,53,High Value,Repeat customer
189.47,13,High Value,Repeat customer
84.65,12,High Value,Repeat customer
305.02,87,High Value,Repeat customer
6363.59,470,High Value,Repeat customer
218.55,9,High Value,Repeat customer
349.7,25,High Value,Repeat customer
186.39000000000001,6,High Value,Repeat customer
396.92,65,High Value,Repeat customer
486.82000000000005,25,High Value,Repeat customer
232.6,16,High Value,Repeat customer
3722.42,195,High Value,Repeat customer
827.83,57,High Value,Repeat customer
59.5,3,High Value,Repeat customer
67.23,30,High Value,Repeat customer
3119.44,39,High Value,Repeat customer
72.0,8,High Value,Repeat customer
910.0,6,High Value,Repeat customer
172.25,9,High Value,Repeat customer
1488.32,53,High Value,Repeat customer
65039.62,568,High Value,Repeat customer
2504.13,90,High Value,Repeat customer
151.29999999999998,12,High Value,Repeat customer
308.58000000000004,14,High Value,Repeat customer
2265.12,197,High Value,Repeat customer
99.5,1,High Value,One-time customer
2308.06,134,High Value,Repeat customer
711.86,28,High Value,Repeat customer
330.79,20,High Value,Repeat customer
806.41,48,High Value,Repeat customer
296.88,51,High Value,Repeat customer
6328.05,336,High Value,Repeat customer
180.48,8,High Value,Repeat customer
252.06,13,High Value,Repeat customer
228.84,10,High Value,Repeat customer
1079.34,105,High Value,Repeat customer
138.28,21,High Value,Repeat customer
1445.01,102,High Value,Repeat customer
306.55,12,High Value,Repeat customer
1041.68,60,High Value,Repeat customer
799.9,43,High Value,Repeat customer
524.14,28,High Value,Repeat customer
2375.41,85,High Value,Repeat customer
199.85000000000002,6,High Value,Repeat customer
1980.56,104,High Value,Repeat customer
1079.6599999999999,42,High Value,Repeat customer
333.48,20,High Value,Repeat customer
1016.14,63,High Value,Repeat customer
752.6,43,High Value,Repeat customer
610.59,38,High Value,Repeat customer
491.86,33,High Value,Repeat customer
2885.2400000000002,196,High Value,Repeat customer
731.9,191,High Value,Repeat customer
339.59999999999997,30,High Value,Repeat customer
216.9,3,High Value,Repeat customer
350.75,23,High Value,Repeat customer
668.4300000000001,34,High Value,Repeat customer
3131.02,321,High Value,Repeat customer
1341.6,41,High Value,Repeat customer
1156.36,72,High Value,Repeat customer
300.04,25,High Value,Repeat customer
79.6,1,High Value,One-time customer
948.25,28,High Value,Repeat customer
1647.26,24,High Value,Repeat customer
296.25,9,High Value,Repeat customer
1186.28,76,High Value,Repeat customer
741.26,35,High Value,Repeat customer
282.59999999999997,12,High Value,Repeat customer
2161.35,342,High Value,Repeat customer
5189.52,142,High Value,Repeat customer
3190.55,117,High Value,Repeat customer
659.4100000000001,25,High Value,Repeat customer
286.79,57,High Value,Repeat customer
1070.65,70,High Value,Repeat customer
306.72,7,High Value,Repeat customer
1714.96,15,High Value,Repeat customer
1521.76,208,High Value,Repeat customer
17220.36,368,High Value,Repeat customer
2796.51,135,High Value,Repeat customer
2634.45,119,High Value,Repeat customer
1132.13,177,High Value,Repeat customer
345.0,22,High Value,Repeat customer
25977.16,197,High Value,Repeat customer
178.7,9,High Value,Repeat customer
360.01,57,High Value,Repeat customer
127.84,17,High Value,Repeat customer
912.0,115,High Value,Repeat customer
2462.79,31,High Value,Repeat customer
230.39999999999998,7,High Value,Repeat customer
309.04,31,High Value,Repeat customer
348.8,45,High Value,Repeat customer
1516.0,11,High Value,Repeat customer
195.55,13,High Value,Repeat customer
37153.85,349,High Value,Repeat customer
688.86,39,High Value,Repeat customer
558.32,33,High Value,Repeat customer
324.8,23,High Value,Repeat customer
4599.42,60,High Value,Repeat customer
277.07,17,High Value,Repeat customer
2635.79,137,High Value,Repeat customer
924.6,13,High Value,Repeat customer
256.38,10,High Value,Repeat customer
112.6,7,High Value,Repeat customer
1747.66,76,High Value,Repeat customer
155.05,12,High Value,Repeat customer
1499.01,35,High Value,Repeat customer
814.5,13,High Value,Repeat customer
539.0,36,High Value,Repeat customer
1366.8600000000001,69,High Value,Repeat customer
1579.12,57,High Value,Repeat customer
4027.36,176,High Value,Repeat customer
571.6700000000001,28,High Value,Repeat customer
382.98,24,High Value,Repeat customer
1140.35,36,High Value,Repeat customer
385.64,59,High Value,Repeat customer
632.0,96,High Value,Repeat customer
957.66,40,High Value,Repeat customer
1698.94,46,High Value,Repeat customer
189.5,10,High Value,Repeat customer
412.05,93,High Value,Repeat customer
209.49,15,High Value,Repeat customer
2202.99,74,High Value,Repeat customer
52.199999999999996,3,High Value,Repeat customer
384.8,29,High Value,Repeat customer
834.57,55,High Value,Repeat customer
271.24,19,High Value,Repeat customer
691.73,174,High Value,Repeat customer
85.0,1,High Value,One-time customer
3385.62,206,High Value,Repeat customer
361.62,20,High Value,Repeat customer
312.98,9,High Value,Repeat customer
865.0600000000001,55,High Value,Repeat customer
1255.0,5,High Value,Repeat customer
1537.95,101,High Value,Repeat customer
1595.48,93,High Value,Repeat customer
2651.46,81,High Value,Repeat customer
1090.14,23,High Value,Repeat customer
8109.5199999999995,110,High Value,Repeat customer
388.5,14,High Value,Repeat customer
216.17,11,High Value,Repeat customer
201.16,28,High Value,Repeat customer
1245.9,76,High Value,Repeat customer
2209.36,139,High Value,Repeat customer
305.78,20,High Value,Repeat customer
501.56,30,High Value,Repeat customer
145.67000000000002,7,High Value,Repeat customer
1015.29,61,High Value,Repeat customer
3192.54,33,High Value,Repeat customer
3104.95,307,High Value,Repeat customer
2770.94,115,High Value,Repeat customer
6403.25,336,High Value,Repeat customer
389.6,23,High Value,Repeat customer
540.45,18,High Value,Repeat customer
1786.79,104,High Value,Repeat customer
122.7,7,High Value,Repeat customer
117.24,3,High Value,Repeat customer
1281.53,36,High Value,Repeat customer
3219.77,165,High Value,Repeat customer
17159.52,178,High Value,Repeat customer
1191.13,65,High Value,Repeat customer
2674.48,142,High Value,Repeat customer
787.6,59,High Value,Repeat customer
506.8,28,High Value,Repeat customer
243.56,16,High Value,Repeat customer
349.55,19,High Value,Repeat customer
605.63,40,High Value,Repeat customer
416.90000000000003,15,High Value,Repeat customer
1883.8100000000002,110,High Value,Repeat customer
632.97,27,High Value,Repeat customer
821.1,21,High Value,Repeat customer
564.62,27,High Value,Repeat customer
2593.07,118,High Value,Repeat customer
311.16,17,High Value,Repeat customer
155.93,12,High Value,Repeat customer
388.52,19,High Value,Repeat customer
740.95,43,High Value,Repeat customer
2867.2,149,High Value,Repeat customer
332.64,26,High Value,Repeat customer
2369.55,122,High Value,Repeat customer
2580.91,148,High Value,Repeat customer
626.45,33,High Value,Repeat customer
272.04,18,High Value,Repeat customer
1212.8400000000001,30,High Value,Repeat customer
384.81,28,High Value,Repeat customer
172.25,7,High Value,Repeat customer
351.13,20,High Value,Repeat customer
1838.8500000000001,117,High Value,Repeat customer
678.25,41,High Value,Repeat customer
223.85000000000002,11,High Value,Repeat customer
348.99,21,High Value,Repeat customer
464.57,27,High Value,Repeat customer
842.65,9,High Value,Repeat customer
337.34,17,High Value,Repeat customer
1237.53,58,High Value,Repeat customer
307.4,16,High Value,Repeat customer
608.7900000000001,23,High Value,Repeat customer
922.1,31,High Value,Repeat customer
376.58,26,High Value,Repeat customer
158.85,9,High Value,Repeat customer
71.66,7,High Value,Repeat customer
568.55,45,High Value,Repeat customer
839.14,49,High Value,Repeat customer
5112.96,45,High Value,Repeat customer
561.5699999999999,11,High Value,Repeat customer
90.6,5,High Value,Repeat customer
102.0,3,High Value,Repeat customer
2427.32,160,High Value,Repeat customer
745.06,35,High Value,Repeat customer
674.45,39,High Value,Repeat customer
3251.071,137,High Value,Repeat customer
3515.68,20,High Value,Repeat customer
439.92,25,High Value,Repeat customer
322.96,33,High Value,Repeat customer
1026.42,152,High Value,Repeat customer
598.2,92,High Value,Repeat customer
230.22,12,High Value,Repeat customer
169.55,11,High Value,Repeat customer
664.54,35,High Value,Repeat customer
80.7,2,High Value,Repeat customer
9053.94,626,High Value,Repeat customer
2758.26,149,High Value,Repeat customer
190.25,15,High Value,Repeat customer
264.7,11,High Value,Repeat customer
413.59000000000003,28,High Value,Repeat customer
2526.28,338,High Value,Repeat customer
357.98,10,High Value,Repeat customer
196.79000000000002,15,High Value,Repeat customer
869.87,54,High Value,Repeat customer
200.14,11,High Value,Repeat customer
1871.81,111,High Value,Repeat customer
2603.43,107,High Value,Repeat customer
920.51,16,High Value,Repeat customer
7060.13,349,High Value,Repeat customer
320.46,13,High Value,Repeat customer
4147.96,234,High Value,Repeat customer
1266.08,41,High Value,Repeat customer
311.3,16,High Value,Repeat customer
855.97,84,High Value,Repeat customer
76.8,5,High Value,Repeat customer
3466.36,121,High Value,Repeat customer
2313.14,155,High Value,Repeat customer
1393.69,86,High Value,Repeat customer
3901.81,208,High Value,Repeat customer
635.66,15,High Value,Repeat customer
2043.0800000000002,39,High Value,Repeat customer
529.73,47,High Value,Repeat customer
4582.64,171,High Value,Repeat customer
2874.72,84,High Value,Repeat customer
962.19,30,High Value,Repeat customer
695.61,42,High Value,Repeat customer
328.8,11,High Value,Repeat customer
473.02,34,High Value,Repeat customer
505.18,39,High Value,Repeat customer
917.34,20,High Value,Repeat customer
4341.21,161,High Value,Repeat customer
1421.61,66,High Value,Repeat customer
642.8,39,High Value,Repeat customer
631.9,22,High Value,Repeat customer
440.0,28,High Value,Repeat customer
584.07,31,High Value,Repeat customer
327.7,16,High Value,Repeat customer
104.82,6,High Value,Repeat customer
467.66,15,High Value,Repeat customer
2360.09,243,High Value,Repeat customer
17286.86,250,High Value,Repeat customer
2975.59,143,High Value,Repeat customer
651.8199999999999,89,High Value,Repeat customer
1428.02,66,High Value,Repeat customer
626.65,38,High Value,Repeat customer
147.20000000000002,28,High Value,Repeat customer
1560.38,92,High Value,Repeat customer
152.2,6,High Value,Repeat customer
3614.92,235,High Value,Repeat customer
141.41,21,High Value,Repeat customer
652.82,209,High Value,Repeat customer
1659.75,6,High Value,Repeat customer
154.99,14,High Value,Repeat customer
1308.6100000000001,32,High Value,Repeat customer
409.93,85,High Value,Repeat customer
5681.72,488,High Value,Repeat customer
746.36,54,High Value,Repeat customer
15610.390000000001,210,High Value,Repeat customer
225.36,56,High Value,Repeat customer
260.25,4,High Value,Repeat customer
92.46,6,High Value,Repeat customer
725.6400000000001,10,High Value,Repeat customer
8214.65,1106,High Value,Repeat customer
6217.96,284,High Value,Repeat customer
183.6,8,High Value,Repeat customer
6140.42,202,High Value,Repeat customer
10464.85,111,High Value,Repeat customer
1353.74,80,High Value,Repeat customer
152.55,7,High Value,Repeat customer
374.7,52,High Value,Repeat customer
265.85,24,High Value,Repeat customer
1438.82,324,High Value,Repeat customer
151.04,13,High Value,Repeat customer
942.26,43,High Value,Repeat customer
122.47,46,High Value,Repeat customer
499.41999999999996,42,High Value,Repeat customer
1049.37,65,High Value,Repeat customer
375.1,12,High Value,Repeat customer
45.599999999999994,4,High Value,Repeat customer
934.52,153,High Value,Repeat customer
182.25,29,High Value,Repeat customer
1018.43,181,High Value,Repeat customer
4448.54,450,High Value,Repeat customer
194.42,69,High Value,Repeat customer
50491.81,589,High Value,Repeat customer
161.0,14,High Value,Repeat customer
76.32000000000001,1,High Value,One-time customer
4076.91,214,High Value,Repeat customer
442.85,105,High Value,Repeat customer
65164.79,5111,Low Value,Repeat customer
147.35,21,High Value,Repeat customer
3104.17,250,High Value,Repeat customer
194.9,26,High Value,Repeat customer
5976.79,35,High Value,Repeat customer
1360.28,79,High Value,Repeat customer
216.20999999999998,21,High Value,Repeat customer
1266.23,74,High Value,Repeat customer
2703.23,123,High Value,Repeat customer
597.91,34,High Value,Repeat customer
144.2,9,High Value,Repeat customer
5683.15,155,High Value,Repeat customer
692.85,10,High Value,Repeat customer
2915.15,160,High Value,Repeat customer
1840.42,34,High Value,Repeat customer
386.53,15,High Value,Repeat customer
1382.74,72,High Value,Repeat customer
90.0,3,High Value,Repeat customer
2780.15,159,High Value,Repeat customer
419.58000000000004,5,High Value,Repeat customer
2740.43,167,High Value,Repeat customer
706.1300000000001,15,High Value,Repeat customer
709.71,44,High Value,Repeat customer
637.5,46,High Value,Repeat customer
1123.8600000000001,52,High Value,Repeat customer
483.86,67,High Value,Repeat customer
3586.0299999999997,200,High Value,Repeat customer
605.64,28,High Value,Repeat customer
4690.31,134,High Value,Repeat customer
982.3800000000001,47,High Value,Repeat customer
415.82,26,High Value,Repeat customer
935.05,66,High Value,Repeat customer
915.13,40,High Value,Repeat customer
311.81,22,High Value,Repeat customer
115.8,7,High Value,Repeat customer
3742.2,11,High Value,Repeat customer
4191.0,210,High Value,Repeat customer
483.4,5,High Value,Repeat customer
157.2,3,High Value,Repeat customer
446.62,28,High Value,Repeat customer
658.64,26,High Value,Repeat customer
621.29,49,High Value,Repeat customer
1345.62,52,High Value,Repeat customer
118.75,6,High Value,Repeat customer
117379.63,1400,Medium value,Repeat customer
432.88,48,High Value,Repeat customer
507.66,41,High Value,Repeat customer
4693.01,1204,High Value,Repeat customer
1110.52,108,High Value,Repeat customer
289.36,25,High Value,Repeat customer
2445.91,52,High Value,Repeat customer
1631.77,29,High Value,Repeat customer
122.53999999999999,25,High Value,Repeat customer
574.84,52,High Value,Repeat customer
363.79,58,High Value,Repeat customer
450.84,29,High Value,Repeat customer
134.46,26,High Value,Repeat customer
3222.3,149,High Value,Repeat customer
576.9000000000001,31,High Value,Repeat customer
559.41,42,High Value,Repeat customer
1620.93,327,High Value,Repeat customer
719.78,165,High Value,Repeat customer
4748.52,240,High Value,Repeat customer
452.89,24,High Value,Repeat customer
197.65,3,High Value,Repeat customer
2054.36,65,High Value,Repeat customer
4654.08,265,High Value,Repeat customer
4684.76,259,High Value,Repeat customer
853.39,42,High Value,Repeat customer
11349.52,579,High Value,Repeat customer
1012.0,7,High Value,Repeat customer
335.52,6,High Value,Repeat customer
701.4,39,High Value,Repeat customer
185.39999999999998,2,High Value,Repeat customer
747.44,37,High Value,Repeat customer
161.03,44,High Value,Repeat customer
466.7,24,High Value,Repeat customer
328.15999999999997,20,High Value,Repeat customer
151.74,10,High Value,Repeat customer
2073.43,87,High Value,Repeat customer
1905.8400000000001,102,High Value,Repeat customer
2241.1,112,High Value,Repeat customer
1070.48,9,High Value,Repeat customer
1004.38,67,High Value,Repeat customer
1789.72,108,High Value,Repeat customer
1839.3,59,High Value,Repeat customer
2004.98,100,High Value,Repeat customer
169.48000000000002,12,High Value,Repeat customer
89.94,7,High Value,Repeat customer
632.4,21,High Value,Repeat customer
3432.8,193,High Value,Repeat customer
683.17,41,High Value,Repeat customer
991.13,60,High Value,Repeat customer
1050.12,118,High Value,Repeat customer
2232.19,67,High Value,Repeat customer
3350.96,175,High Value,Repeat customer
1547.2,40,High Value,Repeat customer
925.71,50,High Value,Repeat customer
2048.07,115,High Value,Repeat customer
1462.72,35,High Value,Repeat customer
775.46,159,High Value,Repeat customer
3144.86,79,High Value,Repeat customer
490.86,15,High Value,Repeat customer
161.0,9,High Value,Repeat customer
146.85,8,High Value,Repeat customer
2380.85,112,High Value,Repeat customer
890.34,42,High Value,Repeat customer
213.70000000000002,10,High Value,Repeat customer
280.55,16,High Value,Repeat customer
2588.77,141,High Value,Repeat customer
1693.45,108,High Value,Repeat customer
1474.06,75,High Value,Repeat customer
136.76999999999998,20,High Value,Repeat customer
302.58,8,High Value,Repeat customer
1904.05,111,High Value,Repeat customer
2879.7000000000003,78,High Value,Repeat customer
969.0600000000001,53,High Value,Repeat customer
3099.7200000000003,106,High Value,Repeat customer
12669.98,111,High Value,Repeat customer
120.0,5,High Value,Repeat customer
1163.45,52,High Value,Repeat customer
2618.23,143,High Value,Repeat customer
333.97,17,High Value,Repeat customer
530.18,31,High Value,Repeat customer
1516.24,55,High Value,Repeat customer
492.65000000000003,29,High Value,Repeat customer
112.32,10,High Value,Repeat customer
437.96,33,High Value,Repeat customer
559.97,29,High Value,Repeat customer
1119.74,64,High Value,Repeat customer
4216.2,225,High Value,Repeat customer
134.04,8,High Value,Repeat customer
3729.34,156,High Value,Repeat customer
595.25,32,High Value,Repeat customer
1910.01,27,High Value,Repeat customer
4628.75,280,High Value,Repeat customer
176.63,9,High Value,Repeat customer
426.6,16,High Value,Repeat customer
911.26,47,High Value,Repeat customer
2314.65,101,High Value,Repeat customer
3883.25,237,High Value,Repeat customer
4871.93,100,High Value,Repeat customer
1046.56,61,High Value,Repeat customer
166.20000000000002,5,High Value,Repeat customer
1305.33,62,High Value,Repeat customer
51527.3,1637,High Value,Repeat customer
3965.62,143,High Value,Repeat customer
43.2,3,High Value,Repeat customer
640.14,13,High Value,Repeat customer
383.45,17,High Value,Repeat customer
1858.96,105,High Value,Repeat customer
2093.32,33,High Value,Repeat customer
2995.72,180,High Value,Repeat customer
2352.53,117,High Value,Repeat customer
310.26,20,High Value,Repeat customer
1611.59,87,High Value,Repeat customer
120.0,8,High Value,Repeat customer
2481.13,101,High Value,Repeat customer
508.58000000000004,24,High Value,Repeat customer
477.79,31,High Value,Repeat customer
1530.75,123,High Value,Repeat customer
605.0600000000001,36,High Value,Repeat customer
183.85,8,High Value,Repeat customer
311.65,12,High Value,Repeat customer
5014.84,259,High Value,Repeat customer
462.65999999999997,28,High Value,Repeat customer
866.31,26,High Value,Repeat customer
415.2,15,High Value,Repeat customer
2552.21,162,High Value,Repeat customer
468.26,63,High Value,Repeat customer
1614.91,90,High Value,Repeat customer
588.22,31,High Value,Repeat customer
309.52,14,High Value,Repeat customer
134.7,6,High Value,Repeat customer
2182.28,129,High Value,Repeat customer
668.5600000000001,21,High Value,Repeat customer
889.9300000000001,71,High Value,Repeat customer
108.97999999999999,6,High Value,Repeat customer
1021.58,60,High Value,Repeat customer
409.57,18,High Value,Repeat customer
133.5,31,High Value,Repeat customer
282.93,18,High Value,Repeat customer
51.0,1,High Value,One-time customer
1078.96,47,High Value,Repeat customer
90.6,6,High Value,Repeat customer
163.62,9,High Value,Repeat customer
174.4,11,High Value,Repeat customer
701.23,33,High Value,Repeat customer
225.77,41,High Value,Repeat customer
912.18,55,High Value,Repeat customer
2128.23,118,High Value,Repeat customer
161.2,41,High Value,Repeat customer
3717.35,69,High Value,Repeat customer
9261.52,524,High Value,Repeat customer
155.0,8,High Value,Repeat customer
100.5,4,High Value,Repeat customer
76.55,4,High Value,Repeat customer
257.68,75,High Value,Repeat customer
617.05,11,High Value,Repeat customer
348.1,46,High Value,Repeat customer
202.68,56,High Value,Repeat customer
626.0699999999999,131,High Value,Repeat customer
1247.69,59,High Value,Repeat customer
202.11,14,High Value,Repeat customer
142.4,7,High Value,Repeat customer
1770.56,140,High Value,Repeat customer
3212.84,186,High Value,Repeat customer
1043.46,45,High Value,Repeat customer
4652.82,286,High Value,Repeat customer
67.95,5,High Value,Repeat customer
3507.71,350,High Value,Repeat customer
487.99,73,High Value,Repeat customer
2612.96,87,High Value,Repeat customer
574.7,25,High Value,Repeat customer
4051.48,182,High Value,Repeat customer
1475.81,20,High Value,Repeat customer
1474.32,103,High Value,Repeat customer
156.75,8,High Value,Repeat customer
2157.73,73,High Value,Repeat customer
2606.53,107,High Value,Repeat customer
2059.4500000000003,54,High Value,Repeat customer
1105.07,193,High Value,Repeat customer
1063.0,14,High Value,Repeat customer
770.03,43,High Value,Repeat customer
122.7,23,High Value,Repeat customer
1496.98,97,High Value,Repeat customer
5900.28,590,High Value,Repeat customer
490.22,14,High Value,Repeat customer
1937.25,124,High Value,Repeat customer
1058.06,206,High Value,Repeat customer
387.52,29,High Value,Repeat customer
813.11,27,High Value,Repeat customer
4263.64,222,High Value,Repeat customer
265.2,3,High Value,Repeat customer
322.08,1,High Value,One-time customer
4481.67,224,High Value,Repeat customer
363.34000000000003,17,High Value,Repeat customer
1244.83,144,High Value,Repeat customer
470.36,17,High Value,Repeat customer
2255.51,382,High Value,Repeat customer
1372.8,12,High Value,Repeat customer
89.06,9,High Value,Repeat customer
63.0,5,High Value,Repeat customer
131.9,9,High Value,Repeat customer
2661.24,32,High Value,Repeat customer
2357.6800000000003,55,High Value,Repeat customer
1712.89,51,High Value,Repeat customer
1589.82,63,High Value,Repeat customer
1420.2,93,High Value,Repeat customer
1039.58,293,High Value,Repeat customer
1163.23,70,High Value,Repeat customer
375.35,20,High Value,Repeat customer
907.1,258,High Value,Repeat customer
483.25,40,High Value,Repeat customer
662.59,109,High Value,Repeat customer
264.44,62,High Value,Repeat customer
119.93,22,High Value,Repeat customer
3062.4,970,High Value,Repeat customer
113.64,4,High Value,Repeat customer
1837.92,37,High Value,Repeat customer
434.34,16,High Value,Repeat customer
2103.06,180,High Value,Repeat customer
2004.02,240,High Value,Repeat customer
529.62,6,High Value,Repeat customer
1058.6200000000001,130,High Value,Repeat customer
2272.4,72,High Value,Repeat customer
598.76,90,High Value,Repeat customer
461.19,43,High Value,Repeat customer
1936.84,281,High Value,Repeat customer
234.34000000000003,7,High Value,Repeat customer
547.66,29,High Value,Repeat customer
